model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
linear_regression,ridge_regression,3,cpu_cores+ disk_free_gb+ ram_available_bytes,202.41077609220784,40970.122278249895,3.2464824063896974e-07,44009.409107408705,,,10.0,
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,138.20740574115322,19101.28700169975,6.988463614151063e-06,19225.27868265385,50.0,5.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,143.63907080341397,20632.18266126817,6.748436272707384e-06,20759.732955196963,50.0,5.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,136.8716865029735,18733.858566168252,6.678294234591135e-06,18864.86354283045,50.0,5.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,147.24965741960037,21682.46161018967,8.41414880173409e-06,21779.62658324737,50.0,10.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,142.639165340132,20345.931488929513,8.080169739510849e-06,20449.345333811387,50.0,10.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,147.18973525972152,21664.818165826906,8.081456749384541e-06,21766.8934147073,50.0,10.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,154.71860904335907,23937.847984311793,9.756178347527096e-06,24016.409287570805,50.0,,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,142.29865250087042,20248.906503563474,8.914152137663683e-06,20340.838765224504,50.0,,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,146.1266149861153,21352.98760730038,8.196644133080034e-06,21453.63576842713,50.0,,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,137.93751439164706,19026.75787654584,1.2561216367240216e-05,19087.341243259456,100.0,5.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,139.79441761334238,19542.47919585357,1.2513597001913588e-05,19602.84979040039,100.0,5.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,141.76379053219762,20096.972306056807,1.2516492774129397e-05,20156.769919082748,100.0,5.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,144.5771988819535,20902.566436551937,1.622275945789579e-05,20943.305664324034,100.0,10.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,146.30254121707566,21404.433566574124,1.552841763103861e-05,21447.42719491961,100.0,10.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,146.9113673341631,21582.949851993402,1.4937036594076838e-05,21628.314585753335,100.0,10.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,142.55161391973598,20320.962631121463,1.8423546341910216e-05,20354.92003495908,100.0,,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,150.90744628845133,22773.057345301822,1.667739569577772e-05,22810.245688299932,100.0,,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,146.5505550390597,21477.065182256465,1.5573462976617853e-05,21519.799911297585,100.0,,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,143.08907745566376,20474.484087112945,2.423278715929039e-05,20495.276007646426,200.0,5.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,138.65148323404838,19224.2338030016,2.4060649588684e-05,19246.571206855726,200.0,5.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,135.28614378624846,18302.34070055349,2.3881111711303877e-05,18325.912457344246,200.0,5.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,149.9787412183701,22493.622817446827,3.17872133653978e-05,22502.588385106534,200.0,10.0,,2.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,148.83119683177546,22150.725150378687,3.0231218428103386e-05,22161.652814125475,200.0,10.0,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,144.59266540624776,20907.03888928312,2.919839300446504e-05,20920.380310569268,200.0,10.0,,10.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,152.98174939050642,23403.415646579713,3.6928496058331486e-05,23407.09158987644,200.0,,,2.0
